FIPS,County
02290,Yukon-Koyukuk Census Area
02290,Yukon-Koyukuk Census Area
01047,Dallas County
01047,Dallas County
01003,Baldwin County
01047,Dallas County
01047,Dallas County
05145,White County
04025,Yavapai County
06023,Humboldt County
06019,Fresno County
06019,Fresno County
,
06019,Fresno County
06029,Kern County
06067,Sacramento County
06109,Tuolumne County
06085,Santa Clara County
06019,Fresno County
06019,Fresno County
06019,Fresno County
06019,Fresno County
06019,Fresno County
06113,Yolo County
08067,La Plata County
08077,Mesa County
08093,Park County
08093,Park County
08067,La Plata County
08093,Park County
08067,La Plata County
08093,Park County
08093,Park County
,
08109,Saguache County
10001,Kent County
10005,Sussex County
10001,Kent County
10001,Kent County
06037,Los Angeles County
13091,Dodge County
13001,Appling County
15001,Hawaii County
15007,Kauai County
15001,Hawaii County
19127,Marshall County
19127,Marshall County
19127,Marshall County
19087,Henry County
19153,Polk County
06037,Los Angeles County
19127,Marshall County
19127,Marshall County
19177,Van Buren County
19187,Webster County
19127,Marshall County
19127,Marshall County
,
19127,Marshall County
19127,Marshall County
19127,Marshall County
19127,Marshall County
19127,Marshall County
19127,Marshall County
19127,Marshall County
19127,Marshall County
19061,Dubuque County
19127,Marshall County
16037,Custer County
16081,Teton County
16037,Custer County
16037,Custer County
16037,Custer County
,
17011,Bureau County
17179,Tazewell County
17143,Peoria County
17179,Tazewell County
17179,Tazewell County
17179,Tazewell County
17179,Tazewell County
17051,Fayette County
17109,McDonough County
17179,Tazewell County
17179,Tazewell County
17179,Tazewell County
17193,White County
17179,Tazewell County
17179,Tazewell County
17095,Knox County
,
17179,Tazewell County
17179,Tazewell County
17179,Tazewell County
17179,Tazewell County
18053,Grant County
18053,Grant County
18053,Grant County
18053,Grant County
18053,Grant County
18053,Grant County
18053,Grant County
18097,Marion County
18053,Grant County
18051,Gibson County
18053,Grant County
18097,Marion County
18053,Grant County
18081,Johnson County
18097,Marion County
18039,Elkhart County
18097,Marion County
18053,Grant County
18003,Allen County
18117,Orange County
18053,Grant County
20105,Lincoln County
20105,Lincoln County
20105,Lincoln County
20105,Lincoln County
